TIC ID,TOI,Priority,Dispo,P (days),dP,Epoch,Dur,RA (J2000),DEC (J2000),Tmag,Depth,R_E,dRe,R_s,dR_s,T_eff,logg,Met,M_s,D (pc),Sect,Rp/R*,a/R*,b,Insol,AB,T_eq,M_p,dM_p,LCO_rms,rms_err,Data,Notes,no_data
77156829.02,696.02,1,P,3.694260,0.0005000,1414.759370,1.42,68.177600,-39.78670000,10.51,1050,1.176,,0.361,,3450,4.890,0,,39.40,5,0.0299,19.85,0.00,14.9,0.3,501,,,-,-,FALSE,Silverstein+ (in prep),TRUE
467179528,1266.01,1,P,10.894771,0.0023760,1691.004583,2.06,197.998168,65.83380700,11.04,3189,2.486,0.656,0.436,0.013,3618,4.954,0,0.431,36.01,14,0.0524,36.01,0.00,5.5,0.3,390,,,,,FALSE,Validation Paper Underway,TRUE
467179528,1266.02,1,P,18.795450,0.0025520,1689.964649,1.93,197.998168,65.83380700,11.04,1444,1.675,1.675,0.436,0.013,3618,5.000,0,,,"14, 15",0.0353,51.80,0.00,2.6,,,,,,,FALSE,Validation Paper Underway,TRUE
390651552,1827.01,1,VP,1.466969,0.000052,1928.225191,1.007329,191.985937,9.751398,8.822000,1599.527990,1.333326,0.514441,0.331472,0.009831,3297.000000,,,,,23,,,,,,,,,,,FALSE,Palle+ in prep,
218795833,519.01,5,VPC+,1.265223,0.0000360,1491.877254,1.24,124.607000,-19.66290000,14.53,139604,9.497,,0.251,,3225,5.005,0,,114.90,7,0.3471,12.38,0.00,29.3,0.5,545,,,-,-,FALSE,WASP-124,TRUE
206609630,212.01,5,PPC,0.335269,0.0000010,1325.491317,0.71,22.550065,-59.58324500,12.30,18458,5.506,,0.230,,3165,5.000,0,,122.00,1,0.2196,5.41,0.00,142.0,0.3,880,,,-,-,FALSE,,TRUE
296739893,620.01,1,VPC+,5.098954,0.0001000,1518.006117,1.17,142.173300,-12.16550000,10.10,3394,2.730,,0.458,,3633,4.804,0,,41.70,8,0.0547,21.00,0.00,16.4,0.3,513,,,-,-,FALSE,,TRUE
32090583,218.01,5,VPC+,0.438374,0.0000100,1325.550345,0.75,58.420270,-68.73953200,13.55,2190,5.520,,0.564,,3847,4.438,0,,52.20,1,0.0899,3.56,0.00,715.8,0.3,1318,,,-,-,FALSE,,TRUE
158588995,674.01,5,VPC+,1.977238,0.0000440,1544.523796,1.02,164.587400,-36.85810000,11.76,14082,4.431,,0.371,,3467,4.879,0,,45.97,9,0.1096,12.85,0.00,36.3,0.3,626,,,-,-,FALSE,,TRUE
262530407,177.01,5,VPC+,2.853047,0.0001940,1356.153000,1.26,20.439100,-46.71440000,9.44,1590,2.175,0.401,0.516,,3868,4.771,0,,22.40,2,0.0387,13.17,0.54,53.5,0.3,689,-,-,0.0005331,0.0002176,FALSE,,TRUE
55650590,206.01,5,VPC,0.736232,0.0000080,1325.542781,0.51,73.737190,-62.52236900,12.47,1537,4.240,,0.367,,3462,4.438,0,,47.60,1,0.1059,6.69,0.00,133.0,0.3,866,,,-,-,FALSE,,TRUE
73649615,756.01,4,VPC+,1.239380,0.0001000,1570.645382,0.97,192.105100,-45.47060000,12.40,3400,2.631,,0.448,,3614,4.813,0,,118.20,10,0.0539,8.30,0.00,102.7,0.3,811,,,-,-,FALSE,,TRUE
12423815,234.01,4,VPC+,2.839249,0.0001000,1356.088115,1.48,2.568707,-26.28240000,14.57,37162,20.670,,0.540,,3642,4.438,0,,246.60,2,0.3512,12.73,0.00,45.0,0.5,607,,,-,-,FALSE,,TRUE
29960110,1201.01,4,VPC+,2.491115,0.0003230,1411.672370,1.36,42.247000,-14.53760000,10.71,2485,3.038,2.129,0.607,0.103,3948,4.690,0,,37.89,4,0.0459,10.80,1.00,86.5,0.3,777,-,-,-,-,FALSE,Ian Crossfield AC Target,TRUE
369327947,910.01,4,VPC,2.028957,0.0001990,1626.205460,0.70,290.226100,-82.55450000,10.27,1085,0.933,1.263,0.279,0.009,3194,4.967,0,,12.48,12,0.0307,,0.00,,0.3,,,,,,FALSE,,TRUE
44737596,552.01,3,VPC+,2.788632,0.0000890,1438.161305,1.81,60.949323,-25.40891400,13.79,25918,16.111,,0.579,,3654,4.438,0,,193.10,5,0.2553,12.01,0.00,51.2,0.5,627,,,-,-,FALSE,,TRUE
170849515,555.01,3,VPC+,1.941285,0.0002200,1438.148808,1.78,70.339800,-32.32030000,14.92,37132,10.832,,0.559,,3837,4.726,0,,438.60,5,0.1778,9.66,0.00,96.4,0.5,734,,,-,-,FALSE,,TRUE
144700903,532.01,3,VPC,2.326811,0.0002490,1470.576303,1.67,85.079900,11.56290000,12.66,8583,5.611,,0.590,,3946,4.690,0,,175.10,6,0.0873,10.51,0.00,91.0,0.3,787,,,-,-,FALSE,,TRUE
27649847,521.01,2,VPC+,1.542829,0.0000500,1492.752769,1.11,123.343800,12.22170000,12.43,2384,1.449,,0.268,,3439,4.975,0,,93.10,7,0.0496,13.53,0.81,31.7,0.3,605,,,-,-,FALSE,,TRUE
38460940,805.01,2,VPC,4.117797,0.0000600,1328.556583,1.44,61.133133,-62.98722500,13.16,2498,6.232,,0.281,0.009,3376,4.438,0,0.255,51.88,8,0.2034,25.21,0.00,8.5,0.3,435,,,-,-,FALSE,,TRUE
300710077,789.01,2,VPC,5.446989,0.0001210,1329.114696,1.58,115.268500,-71.30440000,11.92,928,1.152,,0.373,,3471,4.877,0,,78.80,9,0.0283,25.16,0.00,9.5,0.3,448,,,-,-,FALSE,,TRUE
277634430,771.01,3,VPC,2.326014,0.0000500,1570.093460,1.18,164.113188,-72.98484800,12.07,3392,6.653,,0.242,0.007,3231,4.438,0,0.212,25.28,10,0.2524,19.05,0.00,12.5,0.3,479,,,-,-,FALSE,,TRUE
35009898,654.01,1,VPC+,1.527586,0.0000500,1543.435847,1.21,164.724200,-5.54640000,12.17,2889,1.908,,0.353,,3433,4.897,0,,81.60,9,0.0496,11.18,0.00,46.1,0.3,664,,,-,-,FALSE,,TRUE
9804616,460.01,1,VPC,0.516829,0.0000070,1411.065871,0.94,47.643100,-9.27680000,14.12,33191,6.598,,0.273,,3274,4.979,0,,211.00,4,0.2217,6.45,0.00,114.7,0.3,834,,,-,-,FALSE,Crossfield AC Target,TRUE
396562848,1640.01,1,VPC,1.949514,0.0001460,1792.604851,0.69,44.326080,76.553125,11.05,2697,1.365,1.048,0.260,0.008,3414,5.000,0,,,18,,,,,,,,,,,FALSE,,TRUE
396720998,709.01,1,VPC,32.379584,0.0011560,1392.818675,4.15,65.655287,-54.14718600,14.22,59616,3.921,,0.147,0.111,4910,4.771,-1.9,0.500,1350.00,5,0.2447,153.60,0.00,1.0,0.3,256,-,-,-,-,FALSE,,TRUE
259168516,1680.01,1,VPC,4.802445,0.0003070,1687.264487,1.06,292.313381,65.974367,13.31,5067,1.532,1.122,0.213,0.006,3231,4.954,0,,,"14,15,16",0.0658,33.56,0.00,4.0,0.3,361,,,,,FALSE,,TRUE
360156606,1227.01,1,VPC,27.363526,0.0014000,1617.478270,4.14,186.768030,-72.45179000,13.76,27234,16.516,1.603,0.500,0.500,3050,4.438,0,,100.64,"12,11",0.3030,60.71,1.00,1.0,0.3,253,-,-,-,-,FALSE,,TRUE
89256802,457.01,1,VPC-,1.175976,0.0000300,1411.560890,0.98,58.724900,-26.42370000,13.80,15115,2.805,,0.183,,3054,5.090,0,,120.60,4,0.1406,14.56,0.00,17.0,0.3,518,,,-,-,FALSE,,TRUE
260708537,486.01,1,VPC,1.744587,0.0000710,1326.994371,1.25,98.458200,-58.52850000,9.34,192,0.605,,0.427,,3445,4.852,0,,22.70,1,0.0130,10.76,0.42,50.4,0.3,679,,,-,-,FALSE,Crossfield AC Target,TRUE
