TIC_ID,TOI,Priority,Dispo,P (days),dP,Epoch,Dur,RA (J2000),DEC (J2000),Tmag,Depth,R_E,dRe,R_s,dR_s,T_eff,logg,Met,M_s,D (pc),Sect,Rp/R*,a/R*,b,Insol,AB,T_eq,Notes,M_p,dM_p,LCO_rms,rms_err,Data
259377017,270.02,1,P,11.3795440,0.000242,1389.678659,2.1,68.415442,-51.9561690,10.4,3206,2.36,1.00,0.415,0.050,3551,4.8,0,0.415,22.50,3,0.0522,38.30,0.00,4.5,0.3,371,Guenther et al 2019 (masses - Van Eylen et al 2019),,,-,-,FALSE
259377017,270.03,1,P,3.3601600,0.000121,1387.092173,1.4,68.415442,-51.9561690,10.4,1035,1.37,1.00,0.415,0.050,3551,4.8,0,0.415,22.50,3,0.0303,16.98,0.00,22.9,0.3,557,Guenther et al 2019 (masses - Van Eylen et al 2019),,,-,-,FALSE
36724087,732.01,4,P,0.7683894,0.000030,1543.911480,0.8,154.646400,-11.7167000,10.5,1253,1.13,1.00,0.300,0.050,3329,4.9,0,0.300,30.80,9,0.0347,7.88,0.00,81.9,0.3,767,"LTT-3780 Clouteier+ 2020, Palle+ 2020",,,-,-,FALSE
36724087,732.02,1,P,12.2520896,0.000500,1546.848329,1.4,154.646400,-11.7167000,10.5,3417,1.79,1.00,0.300,0.050,3329,4.9,0,0.300,30.80,9,0.0546,49.95,0.00,2.0,0.3,305,"LTT-3780 Clouteier+ 2020, Palle+ 2020",,,-,-,FALSE
260004324,704.01,5,P,3.8143300,0.000030,1327.418439,1.5,91.084800,-55.3130000,10.1,476,1.09,0.06,0.501,0.030,3625,4.8,0,0.502,29.87,5,0.0199,16.30,0.00,27.0,0.3,581,Gan et al 2020,,,-,-,FALSE
234994474,134.01,5,P,1.4015000,0.000180,1326.033176,1.3,350.031300,-60.0652000,9.2,566,1.39,0.09,0.600,0.022,3800,4.0,0,0.620,25.15,1,0.0213,7.41,0.00,157.3,,987,"GJ 4332b, Astudillo-Defru et al 2019",,,-,-,FALSE
34068865,731.01,1,P,0.3219210,0.000019,1543.492309,0.6,146.124300,-45.7765000,8.0,242,0.75,1.00,0.459,0.050,3518,4.8,0,0.459,9.40,9,0.0149,3.32,0.00,574.8,0.3,1248,"Gl 367b, Lam & Gandolfi 2019 (in prep)",,,-,-,FALSE
201186294,1634.01,1,P,0.9893400,0.000106,1791.515001,1.0,56.390169,37.1122220,11.0,1520,1.83,1.73,0.465,0.014,3455,5.0,0,0.465,35.27,18,0.0361,6.96,0.00,121.8,0.3,847,Cloutier+ 2021,,,,,FALSE
103633434,1235.01,1,P,3.4446500,0.000844,1683.620171,2.2,152.215862,69.2765460,9.9,804,2.14,0.19,0.630,0.019,3912,5.0,0,0.630,39.63,14,0.0312,13.08,0.00,56.8,0.3,700,"Bluhm+ 2020, Cloutier+ 2020",,,,,FALSE
243185500,1468.01,1,P,7.7662375,0.002694,1766.928147,1.8,16.654062,19.2258780,10.9,3430,2.33,0.27,0.369,0.011,3382,5.0,0,0.369,24.74,17,0.0580,32.09,0.00,5.3,0.3,386,Chaturvedi+ (in prep),,,,,FALSE
